A		SANDUSKY RIVER NEAR FREMONT
B		OBSERVED_EDITED
C		DISCHARGE
E		
F		USGS
Units		cms
Type		INST-VAL
6095	08May2011  2300	44.77
6096	08May2011  2330	44.21
6097	09May2011  0000	44.21
6098	09May2011  0030	43.92
6099	09May2011  0100	43.36
6100	09May2011  0130	43.36
6101	09May2011  0200	42.79
6102	09May2011  0230	42.79
6103	09May2011  0300	42.22
6104	09May2011  0330	42.22
6105	09May2011  0400	41.66
6106	09May2011  0430	41.09
6107	09May2011  0500	41.09
6108	09May2011  0530	40.81
6109	09May2011  0600	40.81
6110	09May2011  0630	40.24
6111	09May2011  0700	40.24
6112	09May2011  0730	39.67
6113	09May2011  0800	39.11
6114	09May2011  0830	39.11
6115	09May2011  0900	38.82
6116	09May2011  0930	38.26
6117	09May2011  1000	38.26
6118	09May2011  1030	38.26
6119	09May2011  1100	37.69
6120	09May2011  1130	37.69
6121	09May2011  1200	37.41
6122	09May2011  1230	37.41
6123	09May2011  1300	36.84
6124	09May2011  1330	36.27
6125	09May2011  1400	36.27
6126	09May2011  1430	36.27
6127	09May2011  1500	35.99
6128	09May2011  1530	35.42
6129	09May2011  1600	35.42
6130	09May2011  1630	34.86
6131	09May2011  1700	34.86
6132	09May2011  1730	34.57
6133	09May2011  1800	34.57
6134	09May2011  1830	34.01
6135	09May2011  1900	34.01
6136	09May2011  1930	34.01
6137	09May2011  2000	33.72
6138	09May2011  2030	33.72
6139	09May2011  2100	33.16
6140	09May2011  2130	33.16
6141	09May2011  2200	32.59
6142	09May2011  2230	32.59
6143	09May2011  2300	32.31
6144	09May2011  2330	32.31
6145	10May2011  0000	31.74
6146	10May2011  0030	31.74
6147	10May2011  0100	31.46
6148	10May2011  0130	31.46
6149	10May2011  0200	30.89
6150	10May2011  0230	30.89
6151	10May2011  0300	30.89
6152	10May2011  0330	30.61
6153	10May2011  0400	30.61
6154	10May2011  0430	30.04
6155	10May2011  0500	30.04
6156	10May2011  0530	30.04
6157	10May2011  0600	29.76
6158	10May2011  0630	29.76
6159	10May2011  0700	29.76
6160	10May2011  0730	29.19
6161	10May2011  0800	29.19
6162	10May2011  0830	28.91
6163	10May2011  0900	28.91
6164	10May2011  0930	28.91
6165	10May2011  1000	28.62
6166	10May2011  1030	28.62
6167	10May2011  1100	28.62
6168	10May2011  1130	28.08
6169	10May2011  1200	28.08
6170	10May2011  1230	28.08
6171	10May2011  1300	27.69
6172	10May2011  1330	27.69
6173	10May2011  1400	27.29
6174	10May2011  1430	27.29
6175	10May2011  1500	27.29
6176	10May2011  1530	26.89
6177	10May2011  1600	26.89
6178	10May2011  1630	26.89
6179	10May2011  1700	26.52
6180	10May2011  1730	26.52
6181	10May2011  1800	26.52
6182	10May2011  1830	26.13
6183	10May2011  1900	26.13
6184	10May2011  1930	26.13
6185	10May2011  2000	26.13
6186	10May2011  2030	25.76
6187	10May2011  2100	25.76
6188	10May2011  2130	25.76
6189	10May2011  2200	25.39
6190	10May2011  2230	25.39
6191	10May2011  2300	25.39
6192	10May2011  2330	24.99
6193	11May2011  0000	24.99
6194	11May2011  0030	24.99
6195	11May2011  0100	24.99
6196	11May2011  0130	24.63
6197	11May2011  0200	24.63
6198	11May2011  0230	24.63
6199	11May2011  0300	24.29
6200	11May2011  0330	24.29
6201	11May2011  0400	24.29
6202	11May2011  0430	24.29
6203	11May2011  0500	24.29
6204	11May2011  0530	24.29
6205	11May2011  0600	24.29
6206	11May2011  0630	24.29
6207	11May2011  0700	24.29
6208	11May2011  0730	24.29
6209	11May2011  0800	24.29
6210	11May2011  0830	24.63
6211	11May2011  0900	24.99
6212	11May2011  0930	24.99
6213	11May2011  1000	25.39
6214	11May2011  1030	25.76
6215	11May2011  1100	26.13
6216	11May2011  1130	26.52
6217	11May2011  1200	26.89
6218	11May2011  1230	27.29
6219	11May2011  1300	27.69
6220	11May2011  1330	27.69
6221	11May2011  1400	28.08
6222	11May2011  1430	28.62
6223	11May2011  1500	28.62
6224	11May2011  1530	28.91
6225	11May2011  1600	28.91
6226	11May2011  1630	28.91
6227	11May2011  1700	29.19
6228	11May2011  1730	29.19
6229	11May2011  1800	29.19
6230	11May2011  1830	29.19
6231	11May2011  1900	29.19
6232	11May2011  1930	28.91
6233	11May2011  2000	28.91
6234	11May2011  2030	28.91
6235	11May2011  2100	28.62
6236	11May2011  2130	28.62
6237	11May2011  2200	28.08
6238	11May2011  2230	28.08
6239	11May2011  2300	27.69
6240	11May2011  2330	27.69
6241	12May2011  0000	27.29
6242	12May2011  0030	27.29
6243	12May2011  0100	27.29
6244	12May2011  0130	26.89
6245	12May2011  0200	26.89
6246	12May2011  0230	26.52
6247	12May2011  0300	26.52
6248	12May2011  0330	26.52
6249	12May2011  0400	26.52
6250	12May2011  0430	26.13
6251	12May2011  0500	26.13
6252	12May2011  0530	26.52
6253	12May2011  0600	26.52
6254	12May2011  0630	26.89
6255	12May2011  0700	27.29
6256	12May2011  0730	27.69
6257	12May2011  0800	28.62
6258	12May2011  0830	29.76
6259	12May2011  0900	31.46
6260	12May2011  0930	33.16
6261	12May2011  1000	34.57
6262	12May2011  1030	35.99
6263	12May2011  1100	36.84
6264	12May2011  1130	37.69
6265	12May2011  1200	38.26
6266	12May2011  1230	38.26
6267	12May2011  1300	37.69
6268	12May2011  1330	37.69
6269	12May2011  1400	37.41
6270	12May2011  1430	36.84
6271	12May2011  1500	36.27
6272	12May2011  1530	35.99
6273	12May2011  1600	35.42
6274	12May2011  1630	34.86
6275	12May2011  1700	34.57
6276	12May2011  1730	34.01
6277	12May2011  1800	33.72
6278	12May2011  1830	33.16
6279	12May2011  1900	32.59
6280	12May2011  1930	32.31
6281	12May2011  2000	31.74
6282	12May2011  2030	31.46
6283	12May2011  2100	30.89
6284	12May2011  2130	30.89
6285	12May2011  2200	30.61
6286	12May2011  2230	30.04
6287	12May2011  2300	29.76
6288	12May2011  2330	29.76
6289	13May2011  0000	29.19
6290	13May2011  0030	28.91
6291	13May2011  0100	28.62
6292	13May2011  0130	28.62
6293	13May2011  0200	28.08
6294	13May2011  0230	27.69
6295	13May2011  0300	27.69
6296	13May2011  0330	27.29
6297	13May2011  0400	27.29
6298	13May2011  0430	26.89
6299	13May2011  0500	26.89
6300	13May2011  0530	26.52
6301	13May2011  0600	26.13
6302	13May2011  0630	26.13
6303	13May2011  0700	26.13
6304	13May2011  0730	25.76
6305	13May2011  0800	25.76
6306	13May2011  0830	25.39
6307	13May2011  0900	25.39
6308	13May2011  0930	24.99
6309	13May2011  1000	24.99
6310	13May2011  1030	24.99
6311	13May2011  1100	24.63
6312	13May2011  1130	24.63
6313	13May2011  1200	24.29
6314	13May2011  1230	24.29
6315	13May2011  1300	24.29
6316	13May2011  1330	24.29
6317	13May2011  1400	23.92
6318	13May2011  1430	23.92
6319	13May2011  1500	23.92
6320	13May2011  1530	23.55
6321	13May2011  1600	23.55
6322	13May2011  1630	23.55
6323	13May2011  1700	23.21
6324	13May2011  1730	23.21
6325	13May2011  1800	23.21
6326	13May2011  1830	25.39
6327	13May2011  1900	25.76
6328	13May2011  1930	26.13
6329	13May2011  2000	25.76
6330	13May2011  2030	25.39
6331	13May2011  2100	25.39
6332	13May2011  2130	25.39
6333	13May2011  2200	24.99
6334	13May2011  2230	24.99
6335	13May2011  2300	24.99
6336	13May2011  2330	24.99
6337	14May2011  0000	25.76
6338	14May2011  0030	27.29
6339	14May2011  0100	28.08
6340	14May2011  0130	28.62
6341	14May2011  0200	28.91
6342	14May2011  0230	29.76
6343	14May2011  0300	30.04
6344	14May2011  0330	30.04
6345	14May2011  0400	30.04
6346	14May2011  0430	30.04
6347	14May2011  0500	30.04
6348	14May2011  0530	29.76
6349	14May2011  0600	29.19
6350	14May2011  0630	29.19
6351	14May2011  0700	28.91
6352	14May2011  0730	28.62
6353	14May2011  0800	28.62
6354	14May2011  0830	28.08
6355	14May2011  0900	27.69
6356	14May2011  0930	27.69
6357	14May2011  1000	27.29
6358	14May2011  1030	27.29
6359	14May2011  1100	26.89
6360	14May2011  1130	26.89
6361	14May2011  1200	26.89
6362	14May2011  1230	26.52
6363	14May2011  1300	26.52
6364	14May2011  1330	26.52
6365	14May2011  1400	26.13
6366	14May2011  1430	26.13
6367	14May2011  1500	25.76
6368	14May2011  1530	25.76
6369	14May2011  1600	25.76
6370	14May2011  1630	26.13
6371	14May2011  1700	26.52
6372	14May2011  1730	26.89
6373	14May2011  1800	27.69
6374	14May2011  1830	28.62
6375	14May2011  1900	30.04
6376	14May2011  1930	32.59
6377	14May2011  2000	37.41
6378	14May2011  2030	44.21
6379	14May2011  2100	49.59
6380	14May2011  2130	54.98
6381	14May2011  2200	58.94
6382	14May2011  2230	62.06
6383	14May2011  2300	65.46
6384	14May2011  2330	69.15
6385	15May2011  0000	73.11
6386	15May2011  0030	77.93
6387	15May2011  0100	82.18
6388	15May2011  0130	86.15
6389	15May2011  0200	89.83
6390	15May2011  0230	93.23
6391	15May2011  0300	96.07
6392	15May2011  0330	99.19
6393	15May2011  0400	103.44
6394	15May2011  0430	106.27
6395	15May2011  0500	110.80
6396	15May2011  0530	114.49
6397	15May2011  0600	119.59
6398	15May2011  0630	124.69
6399	15May2011  0700	130.07
6400	15May2011  0730	136.03
6401	15May2011  0800	141.69
6402	15May2011  0830	146.51
6403	15May2011  0900	151.33
6404	15May2011  0930	155.58
6405	15May2011  1000	160.11
6406	15May2011  1030	163.51
6407	15May2011  1100	167.20
6408	15May2011  1130	170.32
6409	15May2011  1200	172.58
6410	15May2011  1230	173.43
6411	15May2011  1300	175.70
6412	15May2011  1330	177.97
6413	15May2011  1400	178.53
6414	15May2011  1430	179.38
6415	15May2011  1500	181.65
6416	15May2011  1530	181.65
6417	15May2011  1600	183.35
6418	15May2011  1630	183.35
6419	15May2011  1700	184.77
6420	15May2011  1730	184.77
6421	15May2011  1800	185.62
6422	15May2011  1830	185.62
6423	15May2011  1900	186.47
6424	15May2011  1930	186.47
6425	15May2011  2000	186.47
6426	15May2011  2030	186.47
6427	15May2011  2100	186.47
6428	15May2011  2130	186.47
6429	15May2011  2200	187.32
6430	15May2011  2230	187.32
6431	15May2011  2300	187.32
6432	15May2011  2330	187.32
6433	16May2011  0000	186.47
6434	16May2011  0030	187.32
6435	16May2011  0100	187.32
6436	16May2011  0130	187.32
6437	16May2011  0200	187.32
6438	16May2011  0230	188.74
6439	16May2011  0300	188.74
6440	16May2011  0330	189.59
6441	16May2011  0400	189.59
6442	16May2011  0430	189.59
6443	16May2011  0500	189.59
6444	16May2011  0530	190.44
6445	16May2011  0600	191.29
6446	16May2011  0630	191.85
6447	16May2011  0700	191.85
6448	16May2011  0730	192.70
6449	16May2011  0800	193.55
6450	16May2011  0830	193.55
6451	16May2011  0900	193.55
6452	16May2011  0930	194.40
6453	16May2011  1000	194.40
6454	16May2011  1030	194.40
6455	16May2011  1100	193.55
6456	16May2011  1130	194.40
6457	16May2011  1200	194.40
6458	16May2011  1230	193.55
6459	16May2011  1300	193.55
6460	16May2011  1330	193.55
6461	16May2011  1400	192.70
6462	16May2011  1430	193.55
6463	16May2011  1500	193.55
6464	16May2011  1530	191.85
6465	16May2011  1600	191.29
6466	16May2011  1630	191.29
6467	16May2011  1700	190.44
6468	16May2011  1730	190.44
6469	16May2011  1800	189.59
6470	16May2011  1830	188.74
6471	16May2011  1900	187.88
6472	16May2011  1930	187.32
6473	16May2011  2000	187.32
6474	16May2011  2030	187.32
6475	16May2011  2100	187.32
6476	16May2011  2130	186.47
6477	16May2011  2200	185.62
6478	16May2011  2230	184.77
6479	16May2011  2300	184.77
6480	16May2011  2330	184.20
6481	17May2011  0000	182.50
6482	17May2011  0030	181.65
6483	17May2011  0100	181.65
6484	17May2011  0130	181.08
6485	17May2011  0200	179.38
6486	17May2011  0230	178.53
6487	17May2011  0300	177.12
6488	17May2011  0330	176.27
6489	17May2011  0400	175.70
6490	17May2011  0430	173.43
6491	17May2011  0500	172.58
6492	17May2011  0530	171.73
6493	17May2011  0600	169.46
6494	17May2011  0630	167.20
6495	17May2011  0700	166.63
6496	17May2011  0730	164.36
6497	17May2011  0800	163.51
6498	17May2011  0830	162.10
6499	17May2011  0900	160.68
6500	17May2011  0930	158.41
6501	17May2011  1000	156.43
6502	17May2011  1030	154.16
6503	17May2011  1100	152.75
6504	17May2011  1130	150.76
6505	17May2011  1200	148.49
6506	17May2011  1230	147.93
6507	17May2011  1300	145.94
6508	17May2011  1330	143.68
6509	17May2011  1400	142.26
6510	17May2011  1430	141.13
6511	17May2011  1500	139.71
6512	17May2011  1530	138.86
6513	17May2011  1600	136.88
6514	17May2011  1630	135.46
6515	17May2011  1700	134.04
6516	17May2011  1730	132.62
6517	17May2011  1800	132.06
6518	17May2011  1830	130.64
6519	17May2011  1900	130.07
6520	17May2011  1930	128.66
6521	17May2011  2000	128.09
6522	17May2011  2030	126.67
6523	17May2011  2100	126.67
6524	17May2011  2130	126.11
6525	17May2011  2200	125.26
6526	17May2011  2230	125.26
6527	17May2011  2300	125.26
6528	17May2011  2330	125.26
6529	18May2011  0000	124.69
6530	18May2011  0030	124.69
6531	18May2011  0100	125.26
6532	18May2011  0130	125.26
6533	18May2011  0200	125.26
6534	18May2011  0230	126.11
6535	18May2011  0300	126.67
6536	18May2011  0330	126.67
6537	18May2011  0400	126.67
6538	18May2011  0430	127.24
6539	18May2011  0500	128.09
6540	18May2011  0530	128.66
6541	18May2011  0600	129.22
6542	18May2011  0630	129.22
6543	18May2011  0700	129.22
6544	18May2011  0730	130.07
6545	18May2011  0800	130.07
6546	18May2011  0830	130.64
6547	18May2011  0900	130.64
6548	18May2011  0930	130.64
6549	18May2011  1000	130.64
6550	18May2011  1030	130.64
6551	18May2011  1100	130.64
6552	18May2011  1130	130.64
6553	18May2011  1200	130.64
6554	18May2011  1230	131.49
6555	18May2011  1300	131.49
6556	18May2011  1330	131.49
6557	18May2011  1400	131.49
6558	18May2011  1430	131.49
6559	18May2011  1500	132.06
6560	18May2011  1530	132.06
6561	18May2011  1600	132.06
6562	18May2011  1630	132.06
6563	18May2011  1700	132.06
6564	18May2011  1730	132.06
6565	18May2011  1800	132.06
6566	18May2011  1830	132.62
6567	18May2011  1900	134.04
6568	18May2011  1930	135.46
6569	18May2011  2000	137.44
6570	18May2011  2030	139.71
6571	18May2011  2100	143.11
6572	18May2011  2130	145.09
6573	18May2011  2200	147.93
6574	18May2011  2230	151.33
6575	18May2011  2300	153.60
6576	18May2011  2330	156.43
6577	19May2011  0000	159.26
6578	19May2011  0030	162.10
6579	19May2011  0100	165.21
6580	19May2011  0130	167.20
6581	19May2011  0200	170.32
6582	19May2011  0230	172.58
6583	19May2011  0300	174.00
6584	19May2011  0330	176.27
6585	19May2011  0400	177.97
6586	19May2011  0430	179.38
6587	19May2011  0500	181.08
6588	19May2011  0530	181.65
6589	19May2011  0600	184.77
6590	19May2011  0630	184.77
6591	19May2011  0700	187.88
6592	19May2011  0730	188.74
6593	19May2011  0800	189.59
6594	19May2011  0830	191.85
6595	19May2011  0900	192.70
6596	19May2011  0930	194.40
6597	19May2011  1000	194.40
6598	19May2011  1030	194.40
6599	19May2011  1100	194.40
6600	19May2011  1130	193.55
6601	19May2011  1200	193.55
6602	19May2011  1230	191.29
6603	19May2011  1300	190.44
6604	19May2011  1330	188.74
6605	19May2011  1400	186.47
6606	19May2011  1430	184.20
6607	19May2011  1500	181.65
6608	19May2011  1530	179.38
6609	19May2011  1600	177.12
6610	19May2011  1630	175.70
6611	19May2011  1700	174.00
6612	19May2011  1730	171.17
6613	19May2011  1800	168.90
6614	19May2011  1830	166.63
6615	19May2011  1900	164.36
6616	19May2011  1930	162.95
6617	19May2011  2000	160.68
6618	19May2011  2030	158.41
6619	19May2011  2100	157.00
6620	19May2011  2130	155.01
6621	19May2011  2200	153.60
6622	19May2011  2230	151.33
6623	19May2011  2300	149.34
6624	19May2011  2330	147.93
6625	20May2011  0000	145.94
6626	20May2011  0030	143.68
6627	20May2011  0100	141.69
6628	20May2011  0130	140.28
6629	20May2011  0200	138.29
6630	20May2011  0230	136.03
6631	20May2011  0300	134.89
6632	20May2011  0330	133.47
6633	20May2011  0400	131.49
6634	20May2011  0430	130.07
6635	20May2011  0500	128.09
6636	20May2011  0530	126.67
6637	20May2011  0600	125.26
6638	20May2011  0630	124.12
6639	20May2011  0700	122.71
6640	20May2011  0730	121.57
6641	20May2011  0800	120.16
6642	20May2011  0830	118.74
6643	20May2011  0900	117.61
6644	20May2011  0930	117.04
6645	20May2011  1000	115.62
6646	20May2011  1030	115.05
6647	20May2011  1100	113.92
6648	20May2011  1130	112.50
6649	20May2011  1200	111.94
6650	20May2011  1230	111.37
6651	20May2011  1300	109.95
6652	20May2011  1330	109.39
6653	20May2011  1400	108.25
6654	20May2011  1430	107.12
6655	20May2011  1500	106.27
6656	20May2011  1530	105.70
6657	20May2011  1600	104.57
6658	20May2011  1630	104.00
6659	20May2011  1700	102.87
6660	20May2011  1730	102.30
6661	20May2011  1800	102.30
6662	20May2011  1830	101.17
6663	20May2011  1900	100.32
6664	20May2011  1930	99.75
6665	20May2011  2000	99.19
6666	20May2011  2030	98.33
6667	20May2011  2100	97.20
6668	20May2011  2130	96.63
6669	20May2011  2200	96.07
6670	20May2011  2230	95.50
6671	20May2011  2300	94.37
6672	20May2011  2330	93.80
6673	21May2011  0000	93.23
6674	21May2011  0030	92.10
6675	21May2011  0100	91.53
6676	21May2011  0130	90.97
6677	21May2011  0200	90.40
6678	21May2011  0230	89.83
6679	21May2011  0300	88.42
6680	21May2011  0330	87.85
6681	21May2011  0400	87.28
6682	21May2011  0430	86.72
6683	21May2011  0500	86.15
6684	21May2011  0530	85.30
6685	21May2011  0600	84.73
6686	21May2011  0630	83.60
6687	21May2011  0700	83.60
6688	21May2011  0730	82.47
6689	21May2011  0800	81.62
6690	21May2011  0830	81.05
6691	21May2011  0900	80.48
6692	21May2011  0930	79.91
6693	21May2011  1000	79.06
6694	21May2011  1030	78.50
6695	21May2011  1100	77.65
6696	21May2011  1130	77.08
6697	21May2011  1200	75.95
6698	21May2011  1230	75.66
6699	21May2011  1300	75.10
6700	21May2011  1330	75.10
6701	21May2011  1400	74.53
6702	21May2011  1430	73.96
6703	21May2011  1500	73.11
6704	21May2011  1530	72.55
6705	21May2011  1600	72.26
6706	21May2011  1630	71.70
6707	21May2011  1700	71.13
6708	21May2011  1730	70.56
6709	21May2011  1800	70.28
6710	21May2011  1830	69.71
6711	21May2011  1900	69.15
6712	21May2011  1930	68.30
6713	21May2011  2000	68.30
6714	21May2011  2030	68.01
6715	21May2011  2100	67.45
6716	21May2011  2130	67.45
6717	21May2011  2200	66.88
6718	21May2011  2230	66.60
6719	21May2011  2300	66.03
6720	21May2011  2330	65.46
6721	22May2011  0000	65.46
6722	22May2011  0030	65.18
6723	22May2011  0100	65.18
6724	22May2011  0130	64.61
6725	22May2011  0200	64.61
6726	22May2011  0230	64.33
6727	22May2011  0300	63.76
6728	22May2011  0330	63.76
6729	22May2011  0400	63.20
6730	22May2011  0430	63.20
6731	22May2011  0500	63.20
6732	22May2011  0530	62.91
6733	22May2011  0600	62.91
6734	22May2011  0630	62.34
6735	22May2011  0700	62.34
6736	22May2011  0730	62.34
6737	22May2011  0800	62.06
6738	22May2011  0830	62.06
6739	22May2011  0900	61.49
6740	22May2011  0930	61.49
6741	22May2011  1000	61.21
6742	22May2011  1030	61.21
6743	22May2011  1100	61.21
6744	22May2011  1130	60.64
6745	22May2011  1200	60.64
6746	22May2011  1230	60.64
6747	22May2011  1300	60.08
6748	22May2011  1330	60.08
6749	22May2011  1400	60.08
6750	22May2011  1430	59.79
6751	22May2011  1500	59.79
6752	22May2011  1530	59.23
6753	22May2011  1600	59.23
6754	22May2011  1630	59.23
6755	22May2011  1700	58.94
6756	22May2011  1730	58.94
6757	22May2011  1800	58.94
6758	22May2011  1830	58.38
6759	22May2011  1900	58.38
6760	22May2011  1930	57.81
6761	22May2011  2000	57.81
6762	22May2011  2030	57.24
6763	22May2011  2100	57.24
6764	22May2011  2130	56.68
6765	22May2011  2200	56.39
6766	22May2011  2230	57.24
6767	22May2011  2300	56.68
6768	22May2011  2330	56.39
6769	23May2011  0000	55.83
6770	23May2011  0030	55.26
6771	23May2011  0100	55.26
6772	23May2011  0130	54.98
6773	23May2011  0200	54.41
6774	23May2011  0230	53.84
6775	23May2011  0300	53.84
6776	23May2011  0330	53.28
6777	23May2011  0400	52.99
6778	23May2011  0430	52.43
6779	23May2011  0500	51.86
6780	23May2011  0530	51.58
6781	23May2011  0600	51.01
6782	23May2011  0630	50.44
6783	23May2011  0700	50.16
6784	23May2011  0730	49.59
6785	23May2011  0800	49.31
6786	23May2011  0830	48.74
6787	23May2011  0900	48.18
6788	23May2011  0930	47.89
6789	23May2011  1000	47.33
6790	23May2011  1030	47.04
6791	23May2011  1100	46.48
6792	23May2011  1130	46.19
6793	23May2011  1200	45.63
6794	23May2011  1230	45.06
6795	23May2011  1300	44.77
6796	23May2011  1330	44.21
6797	23May2011  1400	43.92
6798	23May2011  1430	43.36
6799	23May2011  1500	42.79
6800	23May2011  1530	42.22
6801	23May2011  1600	41.66
6802	23May2011  1630	41.09
6803	23May2011  1700	40.81
6804	23May2011  1730	40.24
6805	23May2011  1800	39.67
6806	23May2011  1830	39.11
6807	23May2011  1900	38.82
6808	23May2011  1930	38.26
6809	23May2011  2000	37.69
6810	23May2011  2030	37.69
6811	23May2011  2100	37.41
6812	23May2011  2130	36.84
6813	23May2011  2200	36.27
6814	23May2011  2230	35.99
6815	23May2011  2300	35.99
6816	23May2011  2330	35.99
6817	24May2011  0000	35.42
6818	24May2011  0030	34.86
6819	24May2011  0100	34.86
6820	24May2011  0130	34.86
6821	24May2011  0200	34.57
6822	24May2011  0230	34.57
6823	24May2011  0300	34.57
6824	24May2011  0330	34.01
6825	24May2011  0400	34.01
6826	24May2011  0430	33.72
6827	24May2011  0500	33.72
6828	24May2011  0530	33.16
6829	24May2011  0600	32.59
6830	24May2011  0630	32.59
6831	24May2011  0700	32.31
6832	24May2011  0730	32.31
6833	24May2011  0800	31.74
6834	24May2011  0830	31.46
6835	24May2011  0900	31.46
6836	24May2011  0930	30.89
6837	24May2011  1000	30.89
6838	24May2011  1030	30.61
6839	24May2011  1100	30.61
6840	24May2011  1130	30.04
6841	24May2011  1200	30.04
6842	24May2011  1230	29.76
6843	24May2011  1300	29.76
6844	24May2011  1330	29.76
6845	24May2011  1400	29.19
6846	24May2011  1430	29.19
6847	24May2011  1500	28.91
6848	24May2011  1530	28.91
6849	24May2011  1600	28.91
6850	24May2011  1630	28.91
6851	24May2011  1700	28.91
6852	24May2011  1730	28.91
6853	24May2011  1800	29.19
6854	24May2011  1830	29.19
6855	24May2011  1900	29.76
6856	24May2011  1930	30.04
6857	24May2011  2000	30.61
6858	24May2011  2030	30.89
6859	24May2011  2100	31.74
6860	24May2011  2130	32.59
6861	24May2011  2200	33.72
6862	24May2011  2230	34.57
6863	24May2011  2300	35.42
6864	24May2011  2330	36.27
6865	25May2011  0000	37.41
6866	25May2011  0030	37.69
6867	25May2011  0100	38.26
6868	25May2011  0130	38.82
6869	25May2011  0200	38.82
6870	25May2011  0230	39.11
6871	25May2011  0300	39.67
6872	25May2011  0330	40.24
6873	25May2011  0400	40.81
6874	25May2011  0430	41.09
6875	25May2011  0500	41.66
6876	25May2011  0530	42.79
6877	25May2011  0600	43.36
6878	25May2011  0630	43.92
6879	25May2011  0700	43.92
6880	25May2011  0730	44.21
6881	25May2011  0800	44.21
6882	25May2011  0830	44.21
6883	25May2011  0900	44.21
6884	25May2011  0930	44.21
6885	25May2011  1000	44.21
6886	25May2011  1030	43.92
6887	25May2011  1100	43.92
6888	25May2011  1130	43.92
6889	25May2011  1200	43.36
6890	25May2011  1230	43.36
6891	25May2011  1300	43.36
6892	25May2011  1330	42.79
6893	25May2011  1400	42.79
6894	25May2011  1430	42.22
6895	25May2011  1500	42.22
6896	25May2011  1530	42.22
6897	25May2011  1600	42.22
6898	25May2011  1630	43.92
6899	25May2011  1700	47.33
6900	25May2011  1730	52.43
6901	25May2011  1800	57.81
6902	25May2011  1830	64.61
6903	25May2011  1900	71.13
6904	25May2011  1930	77.93
6905	25May2011  2000	84.73
6906	25May2011  2030	92.67
6907	25May2011  2100	102.30
6908	25May2011  2130	113.92
6909	25May2011  2200	126.11
6910	25May2011  2230	138.86
6911	25May2011  2300	152.75
6912	25May2011  2330	166.63
6913	26May2011  0000	181.65
6914	26May2011  0030	197.52
6915	26May2011  0100	211.12
6916	26May2011  0130	225.01
6917	26May2011  0200	239.18
6918	26May2011  0230	253.63
6919	26May2011  0300	266.38
6920	26May2011  0330	278.29
6921	26May2011  0400	289.05
6922	26May2011  0430	300.39
6923	26May2011  0500	311.72
6924	26May2011  0530	317.39
6925	26May2011  0600	328.73
6926	26May2011  0630	337.23
6927	26May2011  0700	348.56
6928	26May2011  0730	357.07
6929	26May2011  0800	371.24
6930	26May2011  0830	379.74
6931	26May2011  0900	391.07
6932	26May2011  0930	399.57
6933	26May2011  1000	408.08
6934	26May2011  1030	413.74
6935	26May2011  1100	419.41
6936	26May2011  1130	425.08
6937	26May2011  1200	430.75
6938	26May2011  1230	436.41
6939	26May2011  1300	439.25
6940	26May2011  1330	442.08
6941	26May2011  1400	442.08
6942	26May2011  1430	444.92
6943	26May2011  1500	447.75
6944	26May2011  1530	453.42
6945	26May2011  1600	456.25
6946	26May2011  1630	461.92
6947	26May2011  1700	464.75
6948	26May2011  1730	467.59
6949	26May2011  1800	461.92
6950	26May2011  1830	467.59
6951	26May2011  1900	470.42
6952	26May2011  1930	476.09
6953	26May2011  2000	481.76
6954	26May2011  2030	481.76
6955	26May2011  2100	484.59
6956	26May2011  2130	487.42
6957	26May2011  2200	487.42
6958	26May2011  2230	493.09
6959	26May2011  2300	493.09
6960	26May2011  2330	498.76
6961	27May2011  0000	501.59
6962	27May2011  0030	507.26
6963	27May2011  0100	507.26
6964	27May2011  0130	504.43
6965	27May2011  0200	507.26
6966	27May2011  0230	507.26
6967	27May2011  0300	507.26
6968	27May2011  0330	510.09
6969	27May2011  0400	510.09
6970	27May2011  0430	510.09
6971	27May2011  0500	510.09
6972	27May2011  0530	512.93
6973	27May2011  0600	512.93
6974	27May2011  0630	512.93
6975	27May2011  0700	512.93
6976	27May2011  0730	512.93
6977	27May2011  0800	518.60
6978	27May2011  0830	518.60
6979	27May2011  0900	521.43
6980	27May2011  0930	518.60
6981	27May2011  1000	518.60
6982	27May2011  1030	518.60
6983	27May2011  1100	512.93
6984	27May2011  1130	515.76
6985	27May2011  1200	515.76
6986	27May2011  1230	512.93
6987	27May2011  1300	507.26
6988	27May2011  1330	512.93
6989	27May2011  1400	493.09
6990	27May2011  1430	493.09
6991	27May2011  1500	487.42
6992	27May2011  1530	487.42
6993	27May2011  1600	484.59
6994	27May2011  1630	478.92
6995	27May2011  1700	476.09
6996	27May2011  1730	473.25
6997	27May2011  1800	464.75
6998	27May2011  1830	464.75
6999	27May2011  1900	461.92
7000	27May2011  1930	459.09
7001	27May2011  2000	453.42
7002	27May2011  2030	450.58
7003	27May2011  2100	447.75
7004	27May2011  2130	444.92
7005	27May2011  2200	442.08
7006	27May2011  2230	436.41
7007	27May2011  2300	433.58
7008	27May2011  2330	430.75
7009	28May2011  0000	433.58
7010	28May2011  0030	427.91
7011	28May2011  0100	425.08
7012	28May2011  0130	422.25
7013	28May2011  0200	419.41
7014	28May2011  0230	416.58
7015	28May2011  0300	413.74
7016	28May2011  0330	410.91
7017	28May2011  0400	408.08
7018	28May2011  0430	405.24
7019	28May2011  0500	402.41
7020	28May2011  0530	399.57
7021	28May2011  0600	396.74
7022	28May2011  0630	393.91
