A		SANDUSKY RIVER NEAR FREMONT
B		OBSERVED_EDITED
C		DISCHARGE
E		
F		USGS
Units		cms
Type		INST-VAL
196	06Jan2011  0130	20.83
197	06Jan2011  0200	20.83
198	06Jan2011  0230	20.52
199	06Jan2011  0300	20.18
200	06Jan2011  0330	19.87
201	06Jan2011  0400	19.55
202	06Jan2011  0430	19.24
203	06Jan2011  0500	19.24
204	06Jan2011  0530	18.93
205	06Jan2011  0600	18.62
206	06Jan2011  0630	18.34
207	06Jan2011  0700	18.02
208	06Jan2011  0730	17.74
209	06Jan2011  0800	17.43
210	06Jan2011  0830	17.14
211	06Jan2011  0900	16.86
212	06Jan2011  0930	16.58
213	06Jan2011  1000	16.29
214	06Jan2011  1030	16.01
215	06Jan2011  1100	15.76
216	06Jan2011  1130	15.76
217	06Jan2011  1200	15.76
218	06Jan2011  1230	15.76
219	06Jan2011  1300	16.01
220	06Jan2011  1330	15.47
221	06Jan2011  1400	14.68
222	06Jan2011  1430	14.68
223	06Jan2011  1500	14.42
224	06Jan2011  1530	14.42
225	06Jan2011  1600	14.17
226	06Jan2011  1630	14.17
227	06Jan2011  1700	13.91
228	06Jan2011  1730	13.91
229	06Jan2011  1800	13.91
230	06Jan2011  1830	13.91
231	06Jan2011  1900	13.91
232	06Jan2011  1930	13.69
233	06Jan2011  2000	13.43
234	06Jan2011  2030	13.43
235	06Jan2011  2100	13.21
236	06Jan2011  2130	12.95
237	06Jan2011  2200	12.95
238	06Jan2011  2230	12.72
239	06Jan2011  2300	12.47
240	06Jan2011  2330	12.47
241	07Jan2011  0000	12.47
242	07Jan2011  0030	12.24
243	07Jan2011  0100	12.24
244	07Jan2011  0130	12.24
245	07Jan2011  0200	12.02
246	07Jan2011  0230	11.79
247	07Jan2011  0300	11.59
248	07Jan2011  0330	11.36
249	07Jan2011  0400	11.14
250	07Jan2011  0430	11.14
251	07Jan2011  0500	10.94
252	07Jan2011  0530	10.94
253	07Jan2011  0600	10.94
254	07Jan2011  0630	10.71
255	07Jan2011  0700	10.71
256	07Jan2011  0730	10.51
257	07Jan2011  0800	10.32
